mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_gamma,param_max_depth,param_min_child_weight,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.5973865985870361,0.011260734204924055,0.0016026496887207031,0.00020202549922675994,0.8,0.5,4,1,0.6,"{'colsample_bytree': 0.8, 'gamma': 0.5, 'max_depth': 4, 'min_child_weight': 1, 'subsample': 0.6}",0.9878787878787879,0.996969696969697,0.9939393939393939,0.9939393939393939,0.9878787878787879,0.9921212121212122,0.0036363636363636077,2
0.6350036144256592,0.037826730216477714,0.0015726089477539062,9.25327047353311e-05,0.8,0.5,4,1,0.8,"{'colsample_bytree': 0.8, 'gamma': 0.5, 'max_depth': 4, 'min_child_weight': 1, 'subsample': 0.8}",0.9878787878787879,0.996969696969697,0.9878787878787879,0.990909090909091,0.9878787878787879,0.9903030303030305,0.003533910239300163,10
0.5830676555633545,0.01493706565890209,0.0015507221221923828,0.00017803131499431388,0.8,0.5,4,1,1.0,"{'colsample_bytree': 0.8, 'gamma': 0.5, 'max_depth': 4, 'min_child_weight': 1, 'subsample': 1.0}",0.9787878787878788,0.996969696969697,0.996969696969697,0.996969696969697,0.996969696969697,0.9933333333333334,0.007272727272727276,1
0.3955071926116943,0.010221289314846605,0.001541471481323242,1.7669117091809772e-05,0.8,0.5,4,5,0.6,"{'colsample_bytree': 0.8, 'gamma': 0.5, 'max_depth': 4, 'min_child_weight': 5, 'subsample': 0.6}",0.9848484848484849,0.9818181818181818,0.9818181818181818,0.990909090909091,0.990909090909091,0.9860606060606061,0.004110503020075946,38
0.41251096725463865,0.012879535911272322,0.001630544662475586,0.00025778559449308124,0.8,0.5,4,5,0.8,"{'colsample_bytree': 0.8, 'gamma': 0.5, 'max_depth': 4, 'min_child_weight': 5, 'subsample': 0.8}",0.9818181818181818,0.9848484848484849,0.990909090909091,0.9939393939393939,0.990909090909091,0.9884848484848486,0.004453617714151235,17
0.3671603202819824,0.011571778432439513,0.0015094280242919922,5.433998261757747e-05,0.8,0.5,4,5,1.0,"{'colsample_bytree': 0.8, 'gamma': 0.5, 'max_depth': 4, 'min_child_weight': 5, 'subsample': 1.0}",0.9757575757575757,0.9939393939393939,0.9878787878787879,0.9939393939393939,0.990909090909091,0.9884848484848485,0.006748805288278822,19
0.3444528579711914,0.0019264634642554921,0.0016875267028808594,0.00025696882313792316,0.8,0.5,4,10,0.6,"{'colsample_bytree': 0.8, 'gamma': 0.5, 'max_depth': 4, 'min_child_weight': 10, 'subsample': 0.6}",0.9727272727272728,0.9818181818181818,0.9818181818181818,0.990909090909091,0.990909090909091,0.9836363636363638,0.0068030134304980835,62
0.35139217376708987,0.00884276993450249,0.0016019344329833984,0.0001245042730599238,0.8,0.5,4,10,0.8,"{'colsample_bytree': 0.8, 'gamma': 0.5, 'max_depth': 4, 'min_child_weight': 10, 'subsample': 0.8}",0.9818181818181818,0.9848484848484849,0.9878787878787879,0.990909090909091,0.990909090909091,0.9872727272727273,0.003533910239300205,24
0.3269362449645996,0.01626540931937742,0.0016071319580078125,0.0002289080306799295,0.8,0.5,4,10,1.0,"{'colsample_bytree': 0.8, 'gamma': 0.5, 'max_depth': 4, 'min_child_weight': 10, 'subsample': 1.0}",0.9818181818181818,0.9818181818181818,0.990909090909091,0.990909090909091,0.9878787878787879,0.9866666666666667,0.004110503020075946,32
0.5796278476715088,0.01611887953598107,0.0016112327575683594,0.0002488446335137724,0.8,0.5,5,1,0.6,"{'colsample_bytree': 0.8, 'gamma': 0.5, 'max_depth': 5, 'min_child_weight': 1, 'subsample': 0.6}",0.9878787878787879,0.996969696969697,0.9939393939393939,0.9939393939393939,0.9878787878787879,0.9921212121212122,0.0036363636363636077,2
0.6315548896789551,0.02381575233300308,0.001834535598754883,0.0003080582316005597,0.8,0.5,5,1,0.8,"{'colsample_bytree': 0.8, 'gamma': 0.5, 'max_depth': 5, 'min_child_weight': 1, 'subsample': 0.8}",0.9848484848484849,0.996969696969697,0.9878787878787879,0.996969696969697,0.9878787878787879,0.990909090909091,0.0050706668274792255,7
0.5977806091308594,0.005407983043704997,0.0016026973724365234,0.0002802523090766417,0.8,0.5,5,1,1.0,"{'colsample_bytree': 0.8, 'gamma': 0.5, 'max_depth': 5, 'min_child_weight': 1, 'subsample': 1.0}",0.9757575757575757,0.996969696969697,0.990909090909091,1.0,0.996969696969697,0.9921212121212122,0.008698606117822631,2
0.39438800811767577,0.01685976322299095,0.0015715599060058595,0.00021145180201459575,0.8,0.5,5,5,0.6,"{'colsample_bytree': 0.8, 'gamma': 0.5, 'max_depth': 5, 'min_child_weight': 5, 'subsample': 0.6}",0.9818181818181818,0.9787878787878788,0.9818181818181818,0.990909090909091,0.990909090909091,0.984848484848485,0.005070666827479278,50
0.3923612117767334,0.01104085717775675,0.0016314029693603516,0.00016607305192217132,0.8,0.5,5,5,0.8,"{'colsample_bytree': 0.8, 'gamma': 0.5, 'max_depth': 5, 'min_child_weight': 5, 'subsample': 0.8}",0.9818181818181818,0.9848484848484849,0.990909090909091,0.9939393939393939,0.990909090909091,0.9884848484848486,0.004453617714151235,17
0.3752561092376709,0.02300892540042615,0.0015324592590332032,8.740980491745191e-05,0.8,0.5,5,5,1.0,"{'colsample_bytree': 0.8, 'gamma': 0.5, 'max_depth': 5, 'min_child_weight': 5, 'subsample': 1.0}",0.9787878787878788,0.990909090909091,0.9878787878787879,0.990909090909091,0.9878787878787879,0.9872727272727273,0.0044536177141512616,24
