mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_gamma,param_max_depth,param_min_child_weight,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.6300772190093994,0.0376641945142676,0.0017708301544189452,0.00026518245551108305,0.8,0.5,4,1,0.6,"{'colsample_bytree': 0.8, 'gamma': 0.5, 'max_depth': 4, 'min_child_weight': 1, 'subsample': 0.6}",0.9878787878787879,0.996969696969697,0.9939393939393939,0.9939393939393939,0.9878787878787879,0.9921212121212122,0.0036363636363636077,2
0.67230224609375,0.05029013456173673,0.0017231941223144532,0.0001770545618208043,0.8,0.5,4,1,0.8,"{'colsample_bytree': 0.8, 'gamma': 0.5, 'max_depth': 4, 'min_child_weight': 1, 'subsample': 0.8}",0.9878787878787879,0.996969696969697,0.9878787878787879,0.990909090909091,0.9878787878787879,0.9903030303030305,0.003533910239300163,10
1.0496261596679688,0.09896399099740512,0.0017199039459228516,0.0002693688263598701,0.8,0.5,4,1,1.0,"{'colsample_bytree': 0.8, 'gamma': 0.5, 'max_depth': 4, 'min_child_weight': 1, 'subsample': 1.0}",0.9787878787878788,0.996969696969697,0.996969696969697,0.996969696969697,0.996969696969697,0.9933333333333334,0.007272727272727276,1
0.5115644931793213,0.09325680982686954,0.001556253433227539,6.0606846927313845e-05,0.8,0.5,4,5,0.6,"{'colsample_bytree': 0.8, 'gamma': 0.5, 'max_depth': 4, 'min_child_weight': 5, 'subsample': 0.6}",0.9848484848484849,0.9818181818181818,0.9818181818181818,0.990909090909091,0.990909090909091,0.9860606060606061,0.004110503020075946,38
0.411572265625,0.014779886477824125,0.0017313480377197266,0.0002428195740264901,0.8,0.5,4,5,0.8,"{'colsample_bytree': 0.8, 'gamma': 0.5, 'max_depth': 4, 'min_child_weight': 5, 'subsample': 0.8}",0.9818181818181818,0.9848484848484849,0.990909090909091,0.9939393939393939,0.990909090909091,0.9884848484848486,0.004453617714151235,17
0.3927919387817383,0.012019245922357778,0.001501607894897461,5.7983751358664756e-05,0.8,0.5,4,5,1.0,"{'colsample_bytree': 0.8, 'gamma': 0.5, 'max_depth': 4, 'min_child_weight': 5, 'subsample': 1.0}",0.9757575757575757,0.9939393939393939,0.9878787878787879,0.9939393939393939,0.990909090909091,0.9884848484848485,0.006748805288278822,19
0.36499948501586915,0.012930478391920026,0.0016237735748291016,0.0002373394673122819,0.8,0.5,4,10,0.6,"{'colsample_bytree': 0.8, 'gamma': 0.5, 'max_depth': 4, 'min_child_weight': 10, 'subsample': 0.6}",0.9727272727272728,0.9818181818181818,0.9818181818181818,0.990909090909091,0.990909090909091,0.9836363636363638,0.0068030134304980835,62
0.3597993850708008,0.01656471404228899,0.001729440689086914,0.00015442571429637734,0.8,0.5,4,10,0.8,"{'colsample_bytree': 0.8, 'gamma': 0.5, 'max_depth': 4, 'min_child_weight': 10, 'subsample': 0.8}",0.9818181818181818,0.9848484848484849,0.9878787878787879,0.990909090909091,0.990909090909091,0.9872727272727273,0.003533910239300205,24
0.3452891826629639,0.022614324386626555,0.0017753124237060546,0.0001973027128090354,0.8,0.5,4,10,1.0,"{'colsample_bytree': 0.8, 'gamma': 0.5, 'max_depth': 4, 'min_child_weight': 10, 'subsample': 1.0}",0.9818181818181818,0.9818181818181818,0.990909090909091,0.990909090909091,0.9878787878787879,0.9866666666666667,0.004110503020075946,32
0.606854248046875,0.011869877485466647,0.0015570163726806641,9.180565508933919e-05,0.8,0.5,5,1,0.6,"{'colsample_bytree': 0.8, 'gamma': 0.5, 'max_depth': 5, 'min_child_weight': 1, 'subsample': 0.6}",0.9878787878787879,0.996969696969697,0.9939393939393939,0.9939393939393939,0.9878787878787879,0.9921212121212122,0.0036363636363636077,2
0.647554588317871,0.05399201472540683,0.0016955852508544922,0.00029920212841985183,0.8,0.5,5,1,0.8,"{'colsample_bytree': 0.8, 'gamma': 0.5, 'max_depth': 5, 'min_child_weight': 1, 'subsample': 0.8}",0.9848484848484849,0.996969696969697,0.9878787878787879,0.996969696969697,0.9878787878787879,0.990909090909091,0.0050706668274792255,7
0.6129122734069824,0.02027645210840897,0.0015752792358398437,0.0002274566925662936,0.8,0.5,5,1,1.0,"{'colsample_bytree': 0.8, 'gamma': 0.5, 'max_depth': 5, 'min_child_weight': 1, 'subsample': 1.0}",0.9757575757575757,0.996969696969697,0.990909090909091,1.0,0.996969696969697,0.9921212121212122,0.008698606117822631,2
0.41402626037597656,0.007518416969094851,0.0015439987182617188,0.00011657132591691252,0.8,0.5,5,5,0.6,"{'colsample_bytree': 0.8, 'gamma': 0.5, 'max_depth': 5, 'min_child_weight': 5, 'subsample': 0.6}",0.9818181818181818,0.9787878787878788,0.9818181818181818,0.990909090909091,0.990909090909091,0.984848484848485,0.005070666827479278,50
0.4119760036468506,0.008260747888160174,0.0015422344207763673,5.56390711063739e-05,0.8,0.5,5,5,0.8,"{'colsample_bytree': 0.8, 'gamma': 0.5, 'max_depth': 5, 'min_child_weight': 5, 'subsample': 0.8}",0.9818181818181818,0.9848484848484849,0.990909090909091,0.9939393939393939,0.990909090909091,0.9884848484848486,0.004453617714151235,17
0.3990777969360352,0.026322106124420465,0.0016170024871826171,0.00016009316007235014,0.8,0.5,5,5,1.0,"{'colsample_bytree': 0.8, 'gamma': 0.5, 'max_depth': 5, 'min_child_weight': 5, 'subsample': 1.0}",0.9787878787878788,0.990909090909091,0.9878787878787879,0.990909090909091,0.9878787878787879,0.9872727272727273,0.0044536177141512616,24
