mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.48453330993652344,0.003671846059210326,0.021660327911376953,0.0004389112371710706,gini,4,auto,500,"{'criterion': 'gini', 'max_depth': 4, 'max_features': 'auto', 'n_estimators': 500}",0.9636363636363636,0.9727272727272728,0.9666666666666667,0.9606060606060606,0.9545454545454546,0.9636363636363636,0.006060606060606067,32
0.9661002159118652,0.00965661272099175,0.04247517585754394,0.0004138782383700515,gini,4,auto,1000,"{'criterion': 'gini', 'max_depth': 4, 'max_features': 'auto', 'n_estimators': 1000}",0.9424242424242424,0.9454545454545454,0.9575757575757575,0.9515151515151515,0.9545454545454546,0.9503030303030304,0.005620374845754979,36
1.5367698669433594,0.016689603539168592,0.06671419143676757,0.0018253465094383347,gini,4,auto,1500,"{'criterion': 'gini', 'max_depth': 4, 'max_features': 'auto', 'n_estimators': 1500}",0.9727272727272728,0.9636363636363636,0.9545454545454546,0.9545454545454546,0.9606060606060606,0.9612121212121213,0.006748805288278814,33
0.508679723739624,0.012596284819283678,0.022473621368408202,0.000504099231043975,gini,4,sqrt,500,"{'criterion': 'gini', 'max_depth': 4, 'max_features': 'sqrt', 'n_estimators': 500}",0.9515151515151515,0.9727272727272728,0.9606060606060606,0.9424242424242424,0.9696969696969697,0.9593939393939394,0.011273378931962614,34
1.0166080474853516,0.017322328038570284,0.04981551170349121,0.010829613678556387,gini,4,sqrt,1000,"{'criterion': 'gini', 'max_depth': 4, 'max_features': 'sqrt', 'n_estimators': 1000}",0.9636363636363636,0.9636363636363636,0.9666666666666667,0.9606060606060606,0.9696969696969697,0.9648484848484848,0.00309031485672292,31
1.5159469604492188,0.03068691662940903,0.06531267166137696,0.0014203010024383806,gini,4,sqrt,1500,"{'criterion': 'gini', 'max_depth': 4, 'max_features': 'sqrt', 'n_estimators': 1500}",0.9606060606060606,0.9636363636363636,0.9666666666666667,0.9303030303030303,0.9515151515151515,0.9545454545454545,0.013139080841623513,35
0.5473299980163574,0.014273425387332483,0.024147462844848634,0.00279019149637648,gini,5,auto,500,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'auto', 'n_estimators': 500}",0.990909090909091,0.9848484848484849,0.9787878787878788,0.9939393939393939,0.9787878787878788,0.9854545454545454,0.0061806297134458085,23
1.0937153339385985,0.05908733229974487,0.04564146995544434,0.0003263228882160578,gini,5,auto,1000,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'auto', 'n_estimators': 1000}",0.9939393939393939,0.9787878787878788,0.9787878787878788,0.990909090909091,0.9787878787878788,0.9842424242424241,0.006748805288278826,24
1.6144940376281738,0.020016698082327415,0.06868586540222169,0.0009013449444051156,gini,5,auto,1500,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'auto', 'n_estimators': 1500}",0.9939393939393939,0.9878787878787879,0.9787878787878788,0.990909090909091,0.9818181818181818,0.9866666666666667,0.005620374845754979,20
0.533833122253418,0.0031502295651892834,0.02278289794921875,5.593253116786292e-05,gini,5,sqrt,500,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 500}",0.9878787878787879,0.990909090909091,0.9757575757575757,0.996969696969697,0.9787878787878788,0.9860606060606061,0.007808544682863732,21
1.065467405319214,0.0022515468763585835,0.04550461769104004,0.00011312828676188757,gini,5,sqrt,1000,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 1000}",0.9939393939393939,0.9848484848484849,0.9787878787878788,0.990909090909091,0.9818181818181818,0.986060606060606,0.005620374845754977,22
1.5945929050445558,0.0018297305236521938,0.07296719551086425,0.00926975000118537,gini,5,sqrt,1500,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 1500}",0.9939393939393939,0.990909090909091,0.9787878787878788,0.990909090909091,0.9818181818181818,0.9872727272727273,0.005875975584747078,19
0.5696844577789306,0.0011577185072459038,0.023820257186889647,5.671528501366136e-05,gini,6,auto,500,"{'criterion': 'gini', 'max_depth': 6, 'max_features': 'auto', 'n_estimators': 500}",0.9848484848484849,0.9939393939393939,0.9848484848484849,0.996969696969697,0.9848484848484849,0.989090909090909,0.005283513870958372,18
1.1549399852752686,0.01297753282640431,0.04784798622131348,0.00022201212408685594,gini,6,auto,1000,"{'criterion': 'gini', 'max_depth': 6, 'max_features': 'auto', 'n_estimators': 1000}",0.9878787878787879,0.9939393939393939,0.9848484848484849,0.996969696969697,0.9878787878787879,0.9903030303030305,0.00445361771415121,15
1.7135047435760498,0.010674572911148174,0.0720186710357666,0.0005883735102736496,gini,6,auto,1500,"{'criterion': 'gini', 'max_depth': 6, 'max_features': 'auto', 'n_estimators': 1500}",0.990909090909091,0.996969696969697,0.9818181818181818,0.996969696969697,0.990909090909091,0.9915151515151516,0.00555463720600707,13
0.577130651473999,0.002802580006563241,0.024262380599975587,0.0003370639202763733,gini,6,sqrt,500,"{'criterion': 'gini', 'max_depth': 6, 'max_features': 'sqrt', 'n_estimators': 500}",0.990909090909091,0.9939393939393939,0.9787878787878788,0.996969696969697,0.9878787878787879,0.9896969696969699,0.006239775843022423,16
